TIME,DATA_VALUE,retrieved_at
19960828,12.47,2026-08-24
19960829,12.36,2026-08-24
19960830,12.22,2026-08-24
19960831,12.14,2026-08-24
19960902,12.14,2026-08-24
19960903,12.18,2026-08-24
19960904,12.16,2026-08-24
19960905,12.15,2026-08-24
19960906,12.16,2026-08-24
19960907,12.15,2026-08-24
19960909,12.15,2026-08-24
19960910,12.18,2026-08-24
19960911,12.18,2026-08-24
19960912,12.07,2026-08-24
19960913,11.98,2026-08-24
19960914,11.92,2026-08-24
19960916,11.95,2026-08-24
19960917,12.06,2026-08-24
19960918,12.11,2026-08-24
19960919,12.17,2026-08-24
19960920,12.2,2026-08-24
19960921,12.4,2026-08-24
19960923,12.4,2026-08-24
19960924,12.42,2026-08-24
19960925,12.4,2026-08-24
19960930,12.4,2026-08-24
19961001,12.35,2026-08-24
19961002,12.3,2026-08-24
19961004,12.38,2026-08-24
19961005,12.45,2026-08-24
19961007,12.42,2026-08-24
19961008,12.28,2026-08-24
19961009,11.98,2026-08-24
19961010,11.98,2026-08-24
19961011,11.95,2026-08-24
19961012,11.93,2026-08-24
19961014,11.86,2026-08-24
19961015,11.91,2026-08-24
19961016,11.98,2026-08-24
19961017,11.98,2026-08-24
19961018,11.98,2026-08-24
19961019,11.94,2026-08-24
19961021,11.94,2026-08-24
19961022,12.1,2026-08-24
19961023,12.13,2026-08-24
19961024,12.12,2026-08-24
19961025,12.06,2026-08-24
19961026,12.03,2026-08-24
19961028,11.98,2026-08-24
19961029,12.05,2026-08-24
19961030,12.08,2026-08-24
19961031,12.05,2026-08-24
19961101,12.08,2026-08-24
19961102,12.1,2026-08-24
19961104,12.15,2026-08-24
19961105,12.17,2026-08-24
19961106,12.16,2026-08-24
19961107,12.1,2026-08-24
19961108,12.1,2026-08-24
19961109,12.15,2026-08-24
19961111,12.12,2026-08-24
19961112,12.08,2026-08-24
19961113,12.04,2026-08-24
19961114,12,2026-08-24
19961115,12.04,2026-08-24
19961116,12.03,2026-08-24
19961118,12.03,2026-08-24
19961119,12.07,2026-08-24
19961120,12.15,2026-08-24
