,3Y realised21,3Y GARCH,10Y realised21,10Y GARCH
2021-11-03,5.153006519545286,5.742238231645492,5.537972811159577,5.671260229926715
2021-11-04,5.223996827826648,5.459958583529419,5.684992775469704,5.50056981455298
2021-11-05,5.293918343587428,5.229058512125199,5.433222318468536,5.539215416975319
2021-11-08,5.436810164232773,5.289943006106968,5.414438369502667,5.610954042379372
2021-11-09,5.553107238294611,5.354914210883039,5.495049720300198,5.445864938604951
2021-11-10,5.075323118965407,5.2621945224263404,5.318167425147937,5.39551458322136
2021-11-11,5.103784776772923,5.051718451938316,5.315731370187914,5.269633149685834
2021-11-12,5.169378704494012,4.916756134497179,5.228279330898901,5.160070652729384
2021-11-15,5.277607683140427,4.889177962842991,5.351159197959324,4.998729603682899
2021-11-16,5.0114440462377186,4.892947249439561,5.293324637152501,5.039551323779639
2021-11-17,4.966602748070648,4.849456795935385,5.298422945960963,4.929834135596287
2021-11-18,4.9859707943293055,4.623838496526573,5.269675150374654,4.836593405533118
2021-11-19,4.999561885567484,4.436447726370193,5.371463399076548,4.706395458397435
2021-11-22,4.974784034556298,4.296157769757829,5.362209033065165,4.701807676965928
2021-11-23,4.948751646338995,4.421297137418224,5.247203336744518,4.5638902916039035
2021-11-24,4.973017671585817,4.211149442016582,5.247793186981865,4.4313389426279315
2021-11-25,4.310524219583861,4.059358027382783,5.151079406068113,4.303983747071655
2021-11-26,4.466643567815185,4.351175250024586,5.151079406068113,4.283733380200366
2021-11-29,4.085887442218175,4.625762004705584,3.858947549588637,4.739980290059195
2021-11-30,4.184552089588105,4.4721707576854905,3.934408650429106,4.598068364821921
2021-12-01,3.997112052708146,4.661597577209951,3.8642377428586485,4.760800167098423
2021-12-02,4.095962006892245,4.536060102343,3.9136817399866253,4.647237921866936
2021-12-03,4.262762350535488,4.441498340419151,3.8532546539998362,4.5486939796590065
2021-12-06,4.139271847628687,4.481943935870715,3.643154049525136,4.466242246931214
2021-12-07,3.9532686897469174,4.3701388090502755,3.700218783750364,4.3596918208416175
2021-12-08,3.9801890359510246,4.159817556988924,3.7955111331551588,4.2748257660930395
2021-12-09,3.9795907901620797,4.231816962125687,3.727944665438506,4.416234212552992
2021-12-10,3.894416026887237,4.125644246135934,3.6627728242282167,4.282273233792713
2021-12-13,3.720701418767572,3.9319948507687106,3.681866762546255,4.1661390198452235
2021-12-14,3.614758109538751,3.7759404408921395,3.5345842349964856,4.103250262352317
2021-12-15,3.487638032769316,3.5998279245266387,3.453493745125219,3.9828953958361244
2021-12-16,3.553013476178319,3.484777459454206,3.353100910244976,3.869217881875769
2021-12-17,3.5538577295531604,3.60442877311516,3.36840360662775,3.789944011823069
2021-12-20,3.4936541110446275,3.4367145749787458,3.246675955789979,3.683951070781841
2021-12-21,3.1688438630786813,3.413558778328815,3.2305756526692058,3.7958092367409955
2021-12-22,3.3297862079232936,3.2665348749016285,3.38633809804717,3.687489413775981
2021-12-23,3.592233686321486,3.2887609279378536,3.7168406963313294,3.7085814470723055
2021-12-24,3.3756339792555656,3.516222238690351,3.6592739326655646,3.8901853752078486
2021-12-27,3.116026162858562,3.3684413837194715,3.130997102704325,3.776102463630327
2021-12-28,3.1014743038018007,3.2643617168524006,3.1213626450485976,3.6671604019649755
2021-12-29,2.822511546224645,3.143150966216712,2.8318679684046355,3.5625102983256385
2021-12-30,2.766130183211955,3.025825683641143,3.297062184372487,3.5282377526195514
2022-01-03,2.956840334192019,2.9411078947966445,3.624539379602013,3.98343289102202
2022-01-04,2.8542032496786547,3.3417868904225685,3.5928367887334134,4.308106929774039
2022-01-05,2.8154759387898802,3.3463468553085147,3.6276583028042766,4.178625067337328
2022-01-06,3.7137774377502577,3.2754293265530716,4.350900289978312,4.1783375477189
2022-01-07,3.5009862556006675,4.753558569339636,4.1381903107057605,5.037822525102735
2022-01-10,3.398515081900445,4.525055998179685,4.132490313415893,4.9317715136043985
2022-01-11,3.4590461112855992,4.357355336258548,4.139513428963775,4.805101473075591
2022-01-12,3.6004034165499803,4.1867707480664125,4.396091337497328,4.65691271684268
2022-01-13,3.6870494074982707,4.192908504485498,4.459777914607301,4.805115059001293
2022-01-14,4.046309311906229,4.082993425269012,4.634749697869857,4.692683481122591
2022-01-17,4.244716603922934,4.730247135782621,4.930517214248419,4.900789923590536
2022-01-18,4.38607102628526,5.449755502792129,5.02569113939281,5.395003857791051
2022-01-19,4.444150783949187,5.298236453983469,4.822082142651257,5.265910805020397
2022-01-20,4.454264943902211,5.194501718811311,4.8099203042600704,5.105211422420679
2022-01-21,4.442961260455096,5.149932240985212,4.850144818652813,4.985770021860085
2022-01-24,4.435989179427736,4.946548265887745,4.770704250697063,4.841503565753614
2022-01-25,4.471353262715882,4.728742224006724,4.75839108462994,4.695725636012631
2022-01-26,4.4635081227555435,4.802071575132033,4.802499349297196,4.6021913032666815
2022-01-27,4.525593883679792,4.596205621226972,4.825201698226865,4.477129891047712
2022-01-28,4.548641869519164,4.684879120212628,4.793840293742037,4.507980889177056
2022-02-03,4.714370129114351,4.4936870973012555,4.693556880498643,4.399591174078085
2022-02-04,4.632293477009288,4.434395152860952,4.527634723614103,4.324632624508592
2022-02-07,4.712056471486324,4.306392858021936,4.5366182076415384,4.31473154300009
