asset,instrument,point,years,yield_pct,engine_clean,indep_clean,resid_clean,engine_dirty,indep_dirty,resid_dirty,engine_accrued,indep_accrued,resid_accrued,engine_dv01,indep_dv01,resid_dv01,semiannual_dirty,convention_gap_dirty,convention_gap_dirty_bp_price,semiannual_dv01,convention_gap_dv01,convention_gap_dv01_pct,engine_npv,indep_npv,resid_npv,resid_npv_bp_of_notional,indep_par_pct,market_par_pct,par_resid_bp,n_pay_dates
KTB 2Y,bond,t0,2.0,3.665,1.0000000000000002,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002,0.0,0.0,0.0,0.0,0.00019199939554059853,0.00019199939554059853,0.0,1.0000000000000002,0.0,0.0,0.00019116284461273558,-8.365509278629446e-07,-0.435704979959718,,,,,,,,
KTB 2Y,bond,t+90d,2.0,3.665,0.9999994346150037,0.9999994346150037,0.0,1.0090364209163736,1.0090364209163736,0.0,0.009036986301369863,0.009036986301369863,0.0,0.00016907992909065417,0.0001690799290907652,1.1102230246251565e-16,1.0089954003810842,-4.102053528942662e-05,-0.4102053528942662,0.0001684508017421038,-6.291273485503623e-07,-0.3720887227324589,,,,,,,,
KTB 2.5Y,bond,t0,2.5,3.712,1.0000000000000004,1.0000000000000004,0.0,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,0.0002376997294220029,0.0002376997294220029,0.0,1.0000000000000004,0.0,0.0,0.00023666117787746188,-1.038551544541022e-06,-0.43691742816299883,,,,,,,,
KTB 2.5Y,bond,t+90d,2.5,3.712,0.9999994200439022,0.9999994200439022,0.0,1.009152296756231,1.009152296756231,0.0,0.009152876712328766,0.009152876712328766,0.0,0.0002152208133354705,0.0002152208133354705,0.0,1.0091102223228037,-4.207443342729711e-05,-0.4207443342729711,0.00021438844173315985,-8.323716023106442e-07,-0.38675237278896635,,,,,,,,
KTB 3Y,bond,t0,3.0,3.795,0.999999999999999,0.999999999999999,0.0,0.999999999999999,0.999999999999999,0.0,0.0,0.0,0.0,0.0002822902104233638,0.0002822902104233638,0.0,1.0000000000000002,1.2212453270876722e-15,1.2212453270876722e-11,0.0002810429303292672,-1.2472800940965811e-06,-0.44184319825543267,,,,,,,,
KTB 3Y,bond,t+90d,3.0,3.795,0.9999993938606414,0.9999993938606414,0.0,1.0093569281072168,1.0093569281072168,0.0,0.00935753424657534,0.00935753424657534,0.0,0.0002602772344276749,0.0002602772344275639,-1.1102230246251565e-16,1.0093129601976982,-4.3967909518549675e-05,-0.43967909518549675,0.00025923654300896715,-1.0406914187077732e-06,-0.3998395868144809,,,,,,,,
KTB 5Y,bond,t0,5.0,4.022,1.0000000000000013,1.0000000000000013,0.0,1.0000000000000013,1.0000000000000013,0.0,0.0,0.0,0.0,0.0004508890967970247,0.0004508890967970247,0.0,0.9999999999999993,-1.9984014443252818e-15,-1.9984014443252818e-11,0.00044887087824851957,-2.0182185485051463e-06,-0.44760863876326584,,,,,,,,
KTB 5Y,bond,t+90d,5.0,4.022,0.9999993193085173,0.9999993193085173,0.0,1.0099165795824898,1.0099165795824898,0.0,0.009917260273972604,0.009917260273972604,0.0,0.00043070621859087055,0.00043070621859087055,0.0,1.0098672224234277,-4.9357159062068945e-05,-0.49357159062068945,0.0004288900347944047,-1.8161837964658645e-06,-0.4216757776119003,,,,,,,,
KTB 7Y,bond,t0,7.0,4.162,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0006045477330345328,0.0006045477330345328,0.0,1.0,0.0,0.0,0.0006018760136683454,-2.671719366187375e-06,-0.44193687614651295,,,,,,,,
KTB 7Y,bond,t+90d,7.0,4.162,0.9999992711816084,0.9999992711816084,0.0,1.010261736935033,1.010261736935033,0.0,0.010262465753424656,0.010262465753424656,0.0,0.0005860974034503919,0.0005860974034503919,0.0,1.0102089023363456,-5.2834598687434564e-05,-0.5283459868743456,0.0005836190396781848,-2.478363772207004e-06,-0.4228586848562581,,,,,,,,
KTB 10Y,bond,t0,10.0,4.285,1.000000000000003,1.000000000000003,0.0,1.000000000000003,1.000000000000003,0.0,0.0,0.0,0.0,0.000809867128422681,0.000809867128422681,0.0,0.9999999999999996,-3.552713678800501e-15,-3.552713678800501e-11,0.0008064393536300063,-3.4277747926747537e-06,-0.4232515029163833,,,,,,,,
KTB 10Y,bond,t+90d,10.0,4.285,0.9999992275470895,0.9999992275470897,2.220446049250313e-16,1.010564980971747,1.0105649809717472,2.220446049250313e-16,0.010565753424657534,0.010565753424657534,0.0,0.0007937694215225388,0.0007937694215225388,0.0,1.0105089945584393,-5.598641330761822e-05,-0.5598641330761822,0.000790520199689837,-3.2492218327018207e-06,-0.40934076629828453,,,,,,,,
KTB 20Y,bond,t0,20.0,4.491,1.000000000000003,1.0000000000000029,-2.220446049250313e-16,1.000000000000003,1.0000000000000029,-2.220446049250313e-16,0.0,0.0,0.0,0.001315195594151497,0.001315195594151164,-3.3306690738754696e-16,1.0000000000000027,-4.440892098500626e-16,-4.440892098500626e-12,0.0013106897792991568,-4.505814852340251e-06,-0.34259655920207005,,,,,,,,
KTB 20Y,bond,t+90d,20.0,4.491,0.9999991516375331,0.9999991516375328,-2.220446049250313e-16,1.01107285026767,1.0110728502676698,-2.220446049250313e-16,0.011073698630136986,0.011073698630136986,0.0,0.001305104787793665,0.001305104787794109,4.440892098500626e-16,1.0110113829811163,-6.146728655376243e-05,-0.6146728655376243,0.001300740719587079,-4.364068206585969e-06,-0.3343845067003096,,,,,,,,
KTB 30Y,bond,t0,30.0,4.527,0.9999999999999939,0.9999999999999941,2.220446049250313e-16,0.9999999999999939,0.9999999999999941,2.220446049250313e-16,0.0,0.0,0.0,0.0016365857169303721,0.0016365857169307052,3.3306690738754696e-16,1.0000000000000013,7.438494264988549e-15,7.438494264988549e-11,0.0016322683019719397,-4.317414958432408e-06,-0.26380622253811903,,,,,,,,
KTB 30Y,bond,t+90d,30.0,4.527,0.9999991380080282,0.9999991380080282,0.0,1.0111616037614528,1.0111616037614528,0.0,0.011162465753424658,0.011162465753424658,0.0,0.0016301988931584077,0.0016301988931586298,2.220446049250313e-16,1.011099152681016,-6.245108043678727e-05,-0.6245108043678727,0.0016260057006693973,-4.1931924890104e-06,-0.25721968691110775,,,,,,,,
IRS 1Y,irs,npv,1.0,3.008,,,,,,,,,,,,,,,,,,,-46364754.556643486,-46364754.55664408,-5.960464477539062e-07,-5.960464477539063e-13,3.471,3.5,-2.9,4
IRS 1.5Y,irs,npv,1.5,3.008,,,,,,,,,,,,,,,,,,,-91248775.25854552,-91248775.258546,-4.76837158203125e-07,-4.76837158203125e-13,3.62548,3.645,-1.952,6
IRS 2Y,irs,npv,2.0,3.008,,,,,,,,,,,,,,,,,,,-135147386.16569424,-135147386.16569555,-1.3113021850585938e-06,-1.3113021850585937e-12,3.70239,3.7175,-1.511,8
IRS 3Y,irs,npv,3.0,3.008,,,,,,,,,,,,,,,,,,,-228458468.01912034,-228458468.0191219,-1.5497207641601562e-06,-1.5497207641601564e-12,3.80803,3.8175,-0.947,12
IRS 4Y,irs,npv,4.0,3.008,,,,,,,,,,,,,,,,,,,-327276756.66275907,-327276756.66276264,-3.5762786865234375e-06,-3.5762786865234376e-12,3.88528,3.8925,-0.722,16
IRS 5Y,irs,npv,5.0,3.008,,,,,,,,,,,,,,,,,,,-423193987.953089,-423193987.9530926,-3.5762786865234375e-06,-3.5762786865234376e-12,3.93394,3.94,-0.606,20
IRS 6Y,irs,npv,6.0,3.008,,,,,,,,,,,,,,,,,,,-517068892.70684075,-517068892.70684457,-3.814697265625e-06,-3.814697265625e-12,3.96979,3.975,-0.521,24
IRS 7Y,irs,npv,7.0,3.008,,,,,,,,,,,,,,,,,,,-613297857.0564115,-613297857.0564163,-4.76837158203125e-06,-4.76837158203125e-12,4.00552,4.01,-0.448,28
IRS 8Y,irs,npv,8.0,3.008,,,,,,,,,,,,,,,,,,,-699952134.3136876,-699952134.3136933,-5.7220458984375e-06,-5.7220458984375e-12,4.02341,4.0275,-0.409,32
IRS 9Y,irs,npv,9.0,3.008,,,,,,,,,,,,,,,,,,,-785479007.1321998,-785479007.132206,-6.198883056640625e-06,-6.1988830566406254e-12,4.04129,4.045,-0.371,36
IRS 10Y,irs,npv,10.0,3.008,,,,,,,,,,,,,,,,,,,-872438670.5541081,-872438670.5541153,-7.152557373046875e-06,-7.152557373046875e-12,4.0616,4.065,-0.34,40
