,KTB_3Y_bp,KTB_10Y_bp,slope_10y_3y_bp
2021-03-08,115.0,203.10000000000002,88.10000000000002
2021-03-09,121.99999999999999,203.5,81.50000000000001
2021-03-10,117.5,203.5,86.0
2021-03-11,117.5,202.2,84.69999999999999
2021-03-12,123.0,210.5,87.5
2021-03-15,121.99999999999999,215.20000000000002,93.20000000000003
2021-03-16,117.5,209.7,92.19999999999999
2021-03-17,117.7,213.79999999999998,96.09999999999998
2021-03-18,113.7,216.20000000000002,102.50000000000001
2021-03-19,114.2,211.50000000000003,97.30000000000003
2021-03-22,112.99999999999999,204.99999999999997,91.99999999999999
2021-03-23,114.70000000000002,203.7,88.99999999999997
2021-03-24,112.00000000000001,197.99999999999997,85.99999999999996
2021-03-25,109.5,196.5,87.0
2021-03-26,112.5,200.99999999999997,88.49999999999997
2021-03-29,111.5,196.7,85.19999999999999
2021-03-30,115.1,207.7,92.6
2021-03-31,112.7,205.7,92.99999999999999
2021-04-01,113.50000000000001,202.0,88.49999999999999
2021-04-02,114.70000000000002,205.2,90.49999999999997
2021-04-05,120.19999999999999,210.0,89.80000000000001
2021-04-06,118.50000000000001,207.7,89.19999999999997
2021-04-07,117.7,206.0,88.3
2021-04-08,115.99999999999999,202.2,86.2
2021-04-09,116.7,202.5,85.8
2021-04-12,113.50000000000001,199.70000000000002,86.2
2021-04-13,113.19999999999999,202.5,89.30000000000001
2021-04-14,110.00000000000001,199.2,89.19999999999997
2021-04-15,113.99999999999999,201.5,87.50000000000001
2021-04-16,114.70000000000002,202.2,87.49999999999997
2021-04-19,112.99999999999999,197.99999999999997,84.99999999999999
2021-04-20,112.99999999999999,200.59999999999997,87.59999999999998
2021-04-21,111.0,200.49999999999997,89.49999999999997
2021-04-22,111.20000000000002,200.49999999999997,89.29999999999995
2021-04-23,111.69999999999999,204.5,92.80000000000001
2021-04-26,111.20000000000002,207.7,96.49999999999997
2021-04-27,109.5,207.0,97.5
2021-04-28,111.0,207.7,96.69999999999999
2021-04-29,112.2,210.19999999999996,97.99999999999996
2021-04-30,113.7,213.0,99.3
2021-05-03,114.79999999999998,211.50000000000003,96.70000000000005
2021-05-04,115.7,213.0,97.3
2021-05-06,113.50000000000001,209.50000000000003,96.00000000000001
2021-05-07,113.19999999999999,212.0,98.80000000000001
2021-05-10,113.50000000000001,214.00000000000003,100.50000000000001
2021-05-11,111.69999999999999,214.00000000000003,102.30000000000004
2021-05-12,111.69999999999999,212.2,100.5
2021-05-13,112.1,215.5,103.4
2021-05-14,111.20000000000002,215.5,104.29999999999998
2021-05-17,110.2,211.70000000000002,101.50000000000001
2021-05-18,109.5,212.0,102.5
2021-05-20,110.2,213.49999999999997,103.29999999999997
2021-05-21,109.2,211.70000000000002,102.50000000000001
2021-05-24,111.5,211.70000000000002,100.20000000000002
2021-05-25,114.2,213.0,98.8
2021-05-26,116.5,213.20000000000002,96.70000000000002
2021-05-27,111.5,209.7,98.19999999999999
2021-05-28,116.19999999999999,213.7,97.5
2021-05-31,122.70000000000002,218.0,95.29999999999998
2021-06-01,121.19999999999999,219.0,97.80000000000001
2021-06-02,120.0,219.49999999999997,99.49999999999997
2021-06-03,119.2,219.49999999999997,100.29999999999997
2021-06-04,121.50000000000001,216.7,95.19999999999997
2021-06-07,119.70000000000002,215.5,95.79999999999998
2021-06-08,116.5,211.2,94.69999999999999
2021-06-09,113.50000000000001,210.0,96.49999999999999
2021-06-10,127.39999999999999,208.99999999999997,81.59999999999998
2021-06-11,124.2,208.0,83.8
2021-06-14,128.0,209.3,81.30000000000001
2021-06-15,131.0,208.2,77.19999999999999
2021-06-16,128.49999999999997,206.70000000000002,78.20000000000005
2021-06-17,133.0,208.0,75.0
2021-06-18,131.2,203.5,72.30000000000001
2021-06-21,135.5,200.70000000000002,65.20000000000002
2021-06-22,133.0,204.6,71.6
2021-06-23,133.5,204.99999999999997,71.49999999999997
2021-06-24,138.5,207.5,69.0
2021-06-25,144.4,210.19999999999996,65.79999999999995
2021-06-28,147.7,214.2,66.5
2021-06-29,146.0,210.0,64.0
2021-06-30,145.2,209.50000000000003,64.30000000000004
2021-07-01,147.5,210.0,62.5
2021-07-02,148.5,210.5,62.0
2021-07-05,145.70000000000002,208.5,62.79999999999998
2021-07-06,146.0,211.50000000000003,65.50000000000003
2021-07-07,141.2,203.7,62.5
2021-07-08,135.5,199.2,63.69999999999999
2021-07-09,137.0,203.5,66.5
2021-07-12,138.70000000000002,202.2,63.49999999999997
2021-07-13,142.2,203.0,60.80000000000001
2021-07-14,138.70000000000002,200.19999999999996,61.49999999999994
2021-07-15,148.5,200.49999999999997,51.99999999999997
2021-07-16,146.6,201.70000000000002,55.10000000000002
2021-07-19,145.5,197.7,52.19999999999999
2021-07-20,142.0,190.2,48.19999999999999
2021-07-21,138.0,188.5,50.5
2021-07-22,139.0,191.0,52.0
2021-07-23,138.70000000000002,188.2,49.49999999999997
2021-07-26,136.2,185.00000000000003,48.80000000000004
2021-07-27,138.0,187.5,49.5
2021-07-28,141.70000000000002,185.1,43.39999999999998
2021-07-29,143.5,189.2,45.69999999999999
2021-07-30,141.5,186.7,45.19999999999999
2021-08-02,143.9,191.0,47.099999999999994
2021-08-03,144.5,189.50000000000003,45.00000000000003
2021-08-04,141.5,186.20000000000002,44.70000000000002
2021-08-05,141.0,187.20000000000002,46.20000000000002
2021-08-06,143.5,189.50000000000003,46.00000000000003
2021-08-09,143.0,191.5,48.5
2021-08-10,142.7,191.2,48.5
2021-08-11,141.5,193.5,52.0
2021-08-12,141.0,192.5,51.5
2021-08-13,140.2,191.99999999999997,51.79999999999998
2021-08-17,139.7,187.0,47.30000000000001
2021-08-18,139.0,188.2,49.19999999999999
2021-08-19,136.0,186.5,50.5
2021-08-20,136.0,185.20000000000002,49.20000000000002
2021-08-23,139.7,189.50000000000003,49.80000000000004
2021-08-24,143.70000000000002,194.0,50.29999999999998
2021-08-25,142.5,192.99999999999997,50.49999999999997
2021-08-26,139.5,192.99999999999997,53.49999999999997
2021-08-27,140.5,193.70000000000002,53.20000000000002
2021-08-30,139.7,190.5,50.80000000000001
2021-08-31,139.5,191.2,51.69999999999999
2021-09-01,141.0,194.2,53.19999999999999
2021-09-02,142.2,194.70000000000002,52.50000000000003
2021-09-03,143.70000000000002,194.2,50.49999999999997
2021-09-06,145.70000000000002,196.7,50.99999999999997
2021-09-07,146.6,197.99999999999997,51.39999999999998
2021-09-08,148.0,200.99999999999997,52.99999999999997
2021-09-09,150.20000000000002,200.19999999999996,49.99999999999994
2021-09-10,149.70000000000002,199.50000000000003,49.80000000000001
2021-09-13,153.0,204.5,51.5
2021-09-14,154.0,206.2,52.19999999999999
2021-09-15,149.2,202.7,53.5
2021-09-16,150.79999999999998,204.5,53.70000000000002
2021-09-17,152.7,207.20000000000002,54.50000000000003
2021-09-23,156.5,210.19999999999996,53.69999999999996
2021-09-24,157.7,215.7,58.0
2021-09-27,156.2,217.20000000000005,61.00000000000006
2021-09-28,162.20000000000002,226.7,64.49999999999997
2021-09-29,159.0,220.2,61.19999999999999
2021-09-30,159.0,223.70000000000002,64.70000000000002
2021-10-01,162.99999999999997,225.0,62.00000000000003
2021-10-05,164.5,229.49999999999997,64.99999999999997
2021-10-06,172.0,239.7,67.69999999999999
2021-10-07,168.99999999999997,237.1,68.10000000000002
2021-10-08,169.20000000000002,236.20000000000002,67.0
2021-10-12,180.00000000000003,242.7,62.69999999999996
2021-10-13,182.0,238.89999999999998,56.89999999999998
2021-10-14,181.20000000000002,234.50000000000003,53.30000000000001
2021-10-15,179.20000000000002,236.0,56.79999999999998
2021-10-18,187.99999999999997,240.29999999999998,52.30000000000001
2021-10-19,185.4,237.00000000000003,51.60000000000002
2021-10-20,184.70000000000002,239.7,54.99999999999997
2021-10-21,184.20000000000002,239.1,54.89999999999998
2021-10-22,190.0,240.8,50.80000000000001
2021-10-25,192.99999999999997,245.7,52.70000000000002
2021-10-26,194.2,246.0,51.80000000000001
2021-10-27,206.70000000000002,250.99999999999997,44.299999999999955
2021-10-28,203.5,242.0,38.5
2021-10-29,210.70000000000002,256.3,45.599999999999994
2021-11-01,211.50000000000003,250.99999999999997,39.49999999999994
2021-11-02,203.20000000000002,246.20000000000002,43.0
2021-11-03,203.7,247.5,43.80000000000001
2021-11-04,201.70000000000002,241.5,39.79999999999998
2021-11-05,196.0,235.0,39.0
2021-11-08,190.2,233.5,43.30000000000001
2021-11-09,186.00000000000003,229.0,42.99999999999997
2021-11-10,188.2,231.70000000000002,43.50000000000003
2021-11-11,191.5,234.70000000000002,43.20000000000002
2021-11-12,196.0,235.0,39.0
2021-11-15,191.2,229.49999999999997,38.29999999999998
2021-11-16,195.5,232.20000000000002,36.70000000000002
2021-11-17,196.5,235.2,38.69999999999999
2021-11-18,194.70000000000002,233.5,38.79999999999998
2021-11-19,197.20000000000002,237.99999999999997,40.799999999999955
2021-11-22,202.5,239.0,36.5
2021-11-23,202.0,240.0,38.0
2021-11-24,200.0,239.0,39.0
2021-11-25,193.70000000000002,235.2,41.49999999999997
2021-11-26,187.20000000000002,226.20000000000002,39.0
2021-11-29,184.70000000000002,227.00000000000003,42.30000000000001
2021-11-30,178.70000000000002,220.4,41.69999999999999
2021-12-01,181.7,218.2,36.5
2021-12-02,185.00000000000003,220.7,35.69999999999996
2021-12-03,189.70000000000002,223.49999999999997,33.799999999999955
2021-12-06,186.7,221.5,34.80000000000001
2021-12-07,186.7,224.00000000000003,37.30000000000004
2021-12-08,182.0,218.0,36.0
2021-12-09,179.20000000000002,218.2,38.99999999999997
2021-12-10,179.7,219.49999999999997,39.79999999999998
2021-12-13,178.2,216.7,38.5
2021-12-14,178.49999999999997,217.20000000000005,38.700000000000074
2021-12-15,180.4,216.5,36.099999999999994
2021-12-16,176.0,214.5,38.5
2021-12-17,176.0,215.20000000000002,39.20000000000002
2021-12-20,173.0,210.19999999999996,37.19999999999996
2021-12-21,172.2,210.70000000000002,38.50000000000003
2021-12-22,175.5,214.5,39.0
2021-12-23,180.5,220.29999999999998,39.79999999999998
2021-12-24,179.5,220.2,40.69999999999999
2021-12-27,177.7,220.5,42.80000000000001
2021-12-28,179.0,220.2,41.19999999999999
2021-12-29,177.8,217.49999999999997,39.69999999999996
2021-12-30,179.5,225.5,46.0
2022-01-03,185.20000000000002,233.0,47.79999999999998
2022-01-04,188.39999999999998,232.7,44.30000000000001
2022-01-05,190.7,236.7,46.0
2022-01-06,202.0,248.49999999999997,46.49999999999997
2022-01-07,202.5,245.7,43.19999999999999
2022-01-10,204.6,247.70000000000002,43.10000000000002
2022-01-11,202.79999999999998,248.0,45.20000000000002
2022-01-12,198.70000000000002,241.5,42.79999999999998
2022-01-13,196.0,239.20000000000002,43.20000000000002
2022-01-14,204.5,246.39999999999998,41.89999999999998
2022-01-17,214.2,256.5,42.30000000000001
2022-01-18,210.70000000000002,253.90000000000003,43.20000000000002
2022-01-19,206.70000000000002,253.0,46.29999999999998
2022-01-20,211.29999999999998,255.50000000000003,44.200000000000045
2022-01-21,213.49999999999997,254.2,40.70000000000002
2022-01-24,212.0,254.99999999999997,42.99999999999997
2022-01-25,217.29999999999998,257.7,40.400000000000006
2022-01-26,215.7,256.2,40.5
2022-01-27,220.99999999999997,261.0,40.00000000000003
2022-01-28,219.20000000000002,259.0,39.79999999999998
2022-02-03,215.5,256.2,40.69999999999999
2022-02-04,218.2,260.2,42.0
2022-02-07,224.00000000000003,263.7,39.69999999999996
2022-02-08,230.2,272.2,42.0
2022-02-09,227.5,268.2,40.69999999999999
2022-02-10,226.5,268.2,41.69999999999999
2022-02-11,234.70000000000002,273.5,38.79999999999998
2022-02-14,236.0,273.0,37.0
2022-02-15,235.0,271.49999999999994,36.49999999999994
2022-02-16,231.99999999999997,270.2,38.20000000000002
2022-02-17,229.2,270.8,41.60000000000002
2022-02-18,231.99999999999997,273.0,41.00000000000003
2022-02-21,236.0,276.5,40.5
2022-02-22,232.50000000000003,271.49999999999994,38.999999999999915
2022-02-23,231.5,272.0,40.5
2022-02-24,222.0,262.0,40.0
2022-02-25,224.2,266.7,42.5
2022-02-28,224.5,268.5,44.0
2022-03-02,218.0,261.2,43.19999999999999
2022-03-03,221.20000000000002,267.70000000000005,46.50000000000003
2022-03-04,220.00000000000003,264.7,44.69999999999996
2022-03-07,227.99999999999997,270.2,42.20000000000002
2022-03-08,227.99999999999997,271.7,43.70000000000002
2022-03-10,227.00000000000003,272.1,45.099999999999994
2022-03-11,224.70000000000002,269.5,44.79999999999998
2022-03-14,227.99999999999997,274.0,46.00000000000003
